Order,Tank,Parental Exposure,Alive,Dead found,N,Length (cm),Width (cm),Notes
1,H0_T,E*A,7,8,1,11.882,8.661,
,,,,,2,11.555,6.778,
,,,,,3,9.409,6.928,
,,,,,4,10.252,6.38,
,,,,,5,8.051,5.227,
,,,,,6,11.609,8.263,
,,,,,7,12.728,9.272,
,,,,,Mean,10.78371429,7.358428571,
,,,,,Median,11.555,8.661,
2,H0_B,E*E,9,3,1,11.929,6.122,
,,,,,2,10.78,6.566,
,,,,,3,15.311,8.914,
,,,,,4,13.222,9.171,
,,,,,5,14.448,8.101,
,,,,,6,5.366,3.203,
,,,,,7,9.364,6.733,
,,,,,8,11.424,7.198,
,,,,,9,18.064,11.462,
,,,,,Mean,12.212,7.496666667,
,,,,,Median,11.929,7.198,
3,H1_T,E*A,15,7,1,8.666,5.524,
,,,,,2,8.723,6.216,
,,,,,3,8.961,5.931,
,,,,,4,10.654,8.041,
,,,,,5,9.684,7.351,
,,,,,6,9.819,6.274,
,,,,,7,8.535,5.068,
,,,,,8,8.343,5.749,
,,,,,9,10.241,7.62,
,,,,,10,10.157,7.239,
,,,,,11,10.449,7.048,
,,,,,12,7.783,6.372,
,,,,,13,10.252,6.604,
,,,,,14,10.342,7.284,
,,,,,15,13.075,8.931,
,,,,,Mean,9.712266667,6.750133333,Two indviduals were removed from this group for the open house since it had the most geoducks.
,,,,,Median,9.819,6.604,
4,H1_B,A*A,16,9,1,13.784,10.662,
,,,,,2,10.539,7.563,
,,,,,3,11.911,8.62,
,,,,,4,14.805,10.272,
,,,,,5,9.726,7.075,
,,,,,6,8.539,5.688,
,,,,,7,11.841,7.894,
,,,,,8,11.038,7.964,
,,,,,9,9.394,5.69,
,,,,,10,11.41,8.657,
,,,,,11,10.424,7.226,
,,,,,12,9.465,5.939,
,,,,,13,10.761,7.219,
,,,,,14,11.946,7.927,
,,,,,15,13.084,9.522,
,,,,,16,12.415,8.189,
,,,,,Mean,11.317625,7.8816875,
,,,,,Median,11.224,7.9105,
5,H2_T,E*A,14,6,1,10.842,8.417,
,,,,,2,6.805,5.444,
,,,,,3,8.038,5.678,
,,,,,4,9.586,6.177,
,,,,,5,11.331,7.518,
,,,,,6,8.413,5.748,
,,,,,7,10.596,7.081,
,,,,,8,10.113,7.799,
,,,,,9,7.618,5.575,
,,,,,10,11.077,7.511,
,,,,,11,16.041,10.638,
,,,,,12,10.732,6.982,
,,,,,13,7.945,5.431,
,,,,,14,7.622,5.714,
,,,,,Mean,9.7685,6.836642857,
,,,,,Median,9.8495,6.5795,
6,H2_B,A*A,11,8,1,14.083,10.492,
,,,,,2,11.824,8.417,
,,,,,3,12.879,9.042,
,,,,,4,12.477,8.391,
,,,,,5,12.354,8.725,
,,,,,6,8.325,6.218,
,,,,,7,9.517,6.237,
,,,,,8,9.759,6.815,
,,,,,9,8.555,5.643,
,,,,,10,9.538,7.441,
,,,,,11,13.921,9.172,
,,,,,Mean,11.20290909,7.872090909,
,,,,,Median,11.824,8.391,
7,H3_T,E*A,14,3,1,11.367,7.398,
,,,,,2,9.625,5.971,
,,,,,3,16.184,12.654,
,,,,,4,7.579,4.153,
,,,,,5,9.654,6.2,
,,,,,6,11.153,7.579,
,,,,,7,12.431,8.959,
,,,,,8,13.369,9.126,
,,,,,9,13.311,9.47,
,,,,,10,10.809,8.486,
,,,,,11,14.13,9.372,
,,,,,12,11.883,7.15,
,,,,,13,8.868,5.176,
,,,,,14,8.524,5.437,
,,,,,Mean,11.34907143,7.652214286,
,,,,,Median,11.26,7.4885,
8,H3_B,E*E,13,1,1,12.326,9.446,
,,,,,2,10.008,7.649,
,,,,,3,11.954,9.479,
,,,,,4,14.997,7.005,
,,,,,5,13.578,8.054,
,,,,,6,9.895,10.162,
,,,,,7,9.383,6.869,
,,,,,8,14.193,9.664,
,,,,,9,10.961,7.535,
,,,,,10,11.215,7.66,
,,,,,11,13.022,8.687,
,,,,,12,10.381,7.076,
,,,,,13,10.312,7.157,
,,,,,Mean,11.70961538,8.187923077,
,,,,,Median,11.215,7.66,
