File Name,20200210-pooled_testing-cfx.pcrd,,,,,,,,
Created By User,admin,,,,,,,,
Notes,,,,,,,,,
ID,,,,,,,,,
Run Started,02/10/2020 21:36:46 UTC,,,,,,,,
Run Ended,02/10/2020 22:57:35 UTC,,,,,,,,
Sample Vol,20,,,,,,,,
Lid Temp,105,,,,,,,,
Protocol File Name,CFX_2StepAmp60_EVAGreen+Melt.prcl,,,,,,,,
Plate Setup File Name,QuickPlate_96 wells_All Channels_white.pltd,,,,,,,,
Base Serial Number,BR006896,,,,,,,,
Optical Head Serial Number,788BR07000,,,,,,,,
CFX Maestro Version,4.1.2433.1219. ,,,,,,,,
,,,,,,,,,
Well group,All Wells,,,,,,,,
Amplification step,3,,,,,,,,
Melt step,5,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Well,Target,Content,Replicate,Sample,Cq,Cq Mean,Cq Std. Dev,Melt Temperature,Peak Height
A01,TIF3s6B,Unkn-01,1,Pooled,18.2612003342728,18.2159804147744,0.0639506234440248,None,None
A02,TIF3s6B,Unkn-01,1,Pooled,18.170760495276,18.2159804147744,0.0639506234440248,81.6,1774.73073009876
A03,NFIP,Unkn-02,2,Pooled,27.4239124969954,27.0524182225948,0.525372241201329,79.8,3974.41516706358
A04,NFIP,Unkn-02,2,Pooled,26.6809239481941,27.0524182225948,0.525372241201329,79.6,4370.24804869065
A05,APLP,Unkn-03,3,Pooled,27.2923418221238,27.2441259175583,0.0681875861586354,80.4,6291.19579435077
A06,APLP,Unkn-03,3,Pooled,27.1959100129927,27.2441259175583,0.0681875861586354,80.6,5316.54635733954
A07,TIF3s10,Unkn-04,4,Pooled,37.3431745361451,35.5944392196801,2.47308520154551,None,None
A08,TIF3s10,Unkn-04,4,Pooled,33.8457039032152,35.5944392196801,2.47308520154551,None,None
B01,ECHD3,Unkn-05,5,Pooled,32.6772878186358,32.8446558532126,0.236694144406214,77,4298.13601965632
B02,ECHD3,Unkn-05,5,Pooled,33.0120238877893,32.8446558532126,0.236694144406214,77.2,3378.14966391924
B03,TIF3sF,Unkn-06,6,Pooled,21.9777162756424,22.0336788819805,0.0791430768690885,80.6,4282.32315692312
B04,TIF3sF,Unkn-06,6,Pooled,22.0896414883186,22.0336788819805,0.0791430768690885,80.6,4135.01610458554
B05,TIF3s12,Unkn-07,7,Pooled,32.0916985465579,32.4175571778489,0.460833695788044,76.8,4866.41010933538
B06,TIF3s12,Unkn-07,7,Pooled,32.7434158091399,32.4175571778489,0.460833695788044,77,3703.01811981852
B07,FEN1,Unkn-08,8,Pooled,34.8731000753993,34.8731000753993,0,80,2432.57854736646
B08,FEN1,Unkn-08,8,Pooled,NaN,0,0,None,None
C01,SPTN1,Unkn-09,9,Pooled,27.6829219139345,27.4229445546723,0.367663507378503,82.6,2149.554247257
C02,SPTN1,Unkn-09,9,Pooled,27.1629671954102,27.4229445546723,0.367663507378503,82.2,2003.60861583559
C03,NSF,Unkn-10,10,Pooled,34.573842080436,36.1704051455653,2.25788113988993,79.4,3344.39430241478
C04,NSF,Unkn-10,10,Pooled,37.7669682106947,36.1704051455653,2.25788113988993,79.4,2174.33568181938
C05,TIF3s7,Unkn-11,11,Pooled,34.718596765767,34.9037839319209,0.261894201952238,82.4,1990.91461472596
C06,TIF3s7,Unkn-11,11,Pooled,35.0889710980748,34.9037839319209,0.261894201952238,82.6,1727.45966582236
C07,TIF3s8-2,Unkn-12,12,Pooled,22.0659726396076,21.9970111660797,0.0975262511444211,81.6,2735.88813597982
C08,TIF3s8-2,Unkn-12,12,Pooled,21.9280496925518,21.9970111660797,0.0975262511444211,82,2740.8450969893
D01,TIF3s8-1,Unkn-13,13,Pooled,37.1318364361985,36.072599179418,1.49798769430994,80.6,2460.88772505061
D02,TIF3s8-1,Unkn-13,13,Pooled,35.0133619226374,36.072599179418,1.49798769430994,81,4003.97720836053
D03,TIF3s4a,Unkn-14,14,Pooled,NaN,0,0,None,None
D04,TIF3s4a,Unkn-14,14,Pooled,NaN,0,0,None,None
D05,GLYG,Unkn-15,15,Pooled,37.4977115563577,36.4422745540502,1.49261332289367,None,None
D06,GLYG,Unkn-15,15,Pooled,35.3868375517427,36.4422745540502,1.49261332289367,None,None
D07,RPL5,Unkn-16,16,Pooled,17.4691126625701,18.5215408361168,1.48835819645337,80.8,1649.72196090433
D08,RPL5,Unkn-16,16,Pooled,19.5739690096636,18.5215408361168,1.48835819645337,None,None
E01,GSK3B,Unkn-17,17,Pooled,19.4533935818734,18.7623052226386,0.977346530427974,81,3254.00159825922
E02,GSK3B,Unkn-17,17,Pooled,18.0712168634039,18.7623052226386,0.977346530427974,81,4036.47943460641
